Symbol,Name
EQUITASBNK,Equitas Small Finance Bank Ltd.
ERIS,Eris Lifesciences Ltd.
ESCORTS,Escorts Kubota Ltd.
ETHOSLTD,Ethos Ltd.
EVEREADY,Eveready Industries India Ltd.
EXIDEIND,Exide Industries Ltd.
FDC,FDC Ltd.
NYKAA,FSN E-Commerce Ventures Ltd.
FEDERALBNK,Federal Bank Ltd.
FACT,Fertilisers and Chemicals Travancore Ltd.
FIEMIND,Fiem Industries Ltd
FINEORG,Fine Organic Industries Ltd.
FCL,Fineotex Chemical Ltd.
FINOPB,Fino Payments Bank Ltd.
FINCABLES,Finolex Cables Ltd.
FINPIPE,Finolex Industries Ltd.
FSL,Firstsource Solutions Ltd.
FIVESTAR,Five-Star Business Finance Ltd.
FORTIS,Fortis Healthcare Ltd.
FUSION,Fusion Micro Finance Ltd.
GRINFRA,G R Infraprojects Ltd.
GAIL,GAIL (India) Ltd.
GET&D,GE T&D India Ltd.
GHCL,GHCL Ltd.
GMMPFAUDLR,GMM Pfaudler Ltd.
GMRINFRA,GMR Airports Infrastructure Ltd.
GABRIEL,Gabriel India Ltd.
GALAXYSURF,Galaxy Surfactants Ltd.
GANESHHOUC,Ganesh Housing Corporation Ltd.
GRSE,Garden Reach Shipbuilders & Engineers Ltd.
GARFIBRES,Garware Technical Fibres Ltd.
GATEWAY,Gateway Distriparks Ltd.
GATI,Gati Ltd.
GICRE,General Insurance Corporation of India
GILLETTE,Gillette India Ltd.
GLAND,Gland Pharma Ltd.
GLAXO,Glaxosmithkline Pharmaceuticals Ltd.
GLS,Glenmark Life Sciences Ltd.
GLENMARK,Glenmark Pharmaceuticals Ltd.
MEDANTA,Global Health Ltd.
GLOBUSSPR,Globus Spirits Ltd.
GOCOLORS,Go Fashion (India) Ltd.
GPIL,Godawari Power & Ispat Ltd.
GODFRYPHLP,Godfrey Phillips India Ltd.
GODREJAGRO,Godrej Agrovet Ltd.
GODREJCP,Godrej Consumer Products Ltd.
GODREJIND,Godrej Industries Ltd.
GODREJPROP,Godrej Properties Ltd.
GOKEX,Gokaldas Exports Ltd.
GRANULES,Granules India Ltd.
GRAPHITE,Graphite India Ltd.
GRASIM,Grasim Industries Ltd.
GRAVITA,Gravita India Ltd.
GESHIP,Great Eastern Shipping Co. Ltd.
GREAVESCOT,Greaves Cotton Ltd.
GREENLAM,Greenlam Industries Ltd.
GREENPANEL,Greenpanel Industries Ltd.
GREENPLY,Greenply Industries Ltd.
GRINDWELL,Grindwell Norton Ltd.
GUFICBIO,Gufic Biosciences Ltd.
GUJALKALI,Gujarat Alkalies & Chemicals Ltd.
GAEL,Gujarat Ambuja Exports Ltd.
FLUOROCHEM,Gujarat Fluorochemicals Ltd.
GUJGASLTD,Gujarat Gas Ltd.
GMDCLTD,Gujarat Mineral Development Corporation Ltd.
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Ltd.
GPPL,Gujarat Pipavav Port Ltd.
GSFC,Gujarat State Fertilizers & Chemicals Ltd.
GSPL,Gujarat State Petronet Ltd.
HEG,H.E.G. Ltd.
HGINFRA,H.G. Infra Engineering Ltd.
HBLPOWER,HBL Power Systems Ltd.
HCLTECH,HCL Technologies Ltd.
HDFCAMC,HDFC Asset Management Company Ltd.
HDFCBANK,HDFC Bank Ltd.
HDFCLIFE,HDFC Life Insurance Company Ltd.
HFCL,HFCL Ltd.
HIL,HIL Ltd.
HLEGLAS,HLE Glascoat Ltd.
HAPPSTMNDS,Happiest Minds Technologies Ltd.
HARSHA,Harsha Engineers International Ltd.
HATHWAY,Hathway Cable & Datacom Ltd.
HAVELLS,Havells India Ltd.
HCG,Healthcare Global Enterprises Ltd.
HEIDELBERG,HeidelbergCement India Ltd.
HEMIPROP,Hemisphere Properties India Ltd.
HERITGFOOD,Heritage Foods Ltd.
HEROMOTOCO,Hero MotoCorp Ltd.
HIKAL,Hikal Ltd.
HSCL,Himadri Speciality Chemical Ltd.
HINDALCO,Hindalco Industries Ltd.
HGS,Hinduja Global Solutions Ltd.
HAL,Hindustan Aeronautics Ltd.
HCC,Hindustan Construction Co. Ltd.
HINDCOPPER,Hindustan Copper Ltd.
HNDFDS,Hindustan Foods Ltd.
HINDOILEXP,Hindustan Oil Exploration Co. Ltd.
HINDPETRO,Hindustan Petroleum Corporation Ltd.
HINDUNILVR,Hindustan Unilever Ltd.
HINDZINC,Hindustan Zinc Ltd.
HINDWAREAP,Hindware Home Innovation Ltd.
POWERINDIA,Hitachi Energy India Ltd.
HOMEFIRST,Home First Finance Company India Ltd.
HONAUT,Honeywell Automation India Ltd.
HUDCO,Housing & Urban Development Corporation Ltd.
ICICIBANK,ICICI Bank Ltd.
ICICIGI,ICICI Lombard General Insurance Company Ltd.
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.
ISEC,ICICI Securities Ltd.
IDBI,IDBI Bank Ltd.
IDFCFIRSTB,IDFC First Bank Ltd.
IDFC,IDFC Ltd.
IFBIND,IFB Industries Ltd.
IFCI,IFCI Ltd.
IIFL,IIFL Finance Ltd.
IKIO,IKIO Lighting Ltd.
IOLCP,IOL Chem and Pharma Ltd.
IRB,IRB Infrastructure Developers Ltd.
IRCON,IRCON International Ltd.
ITC,ITC Ltd.
ITDCEM,ITD Cementation India Ltd.
ITI,ITI Ltd.
INDIACEM,India Cements Ltd.
INDIAGLYCO,India Glycols Ltd.
IBULHSGFIN,Indiabulls Housing Finance Ltd.
IBREALEST,Indiabulls Real Estate Ltd.
INDIAMART,Indiamart Intermesh Ltd.
INDIANB,Indian Bank
IEX,Indian Energy Exchange Ltd.
INDHOTEL,Indian Hotels Co. Ltd.
IMFA,Indian Metals & Ferro Alloys Ltd.
IOC,Indian Oil Corporation Ltd.
IOB,Indian Overseas Bank
IRCTC,Indian Railway Catering And Tourism Corporation Ltd.
IRFC,Indian Railway Finance Corporation Ltd.
INDIGOPNTS,Indigo Paints Ltd.
ICIL,Indo Count Industries Ltd.
INDOCO,Indoco Remedies Ltd.
IGL,Indraprastha Gas Ltd.
INDUSTOWER,Indus Towers Ltd.
INDUSINDBK,IndusInd Bank Ltd.
INFIBEAM,Infibeam Avenues Ltd.
NAUKRI,Info Edge (India) Ltd.
INFY,Infosys Ltd.
INGERRAND,Ingersoll Rand (India) Ltd.
INOXWIND,Inox Wind Ltd.
INTELLECT,Intellect Design Arena Ltd.
INDIGO,InterGlobe Aviation Ltd.
IONEXCHANG,Ion Exchange (India) Ltd.
IPCALAB,Ipca Laboratories Ltd.
ISGEC,Isgec Heavy Engineering Ltd.
JBCHEPHARM,J.B. Chemicals & Pharmaceuticals Ltd.
JKCEMENT,J.K. Cement Ltd.
JKIL,J.Kumar Infraprojects Ltd.
JBMA,JBM Auto Ltd.
JKLAKSHMI,JK Lakshmi Cement Ltd.
JKPAPER,JK Paper Ltd.
JKTYRE,JK Tyre & Industries Ltd.
JMFINANCIL,JM Financial Ltd.
JSWENERGY,JSW Energy Ltd.
JSWSTEEL,JSW Steel Ltd.
JTEKTINDIA,JTEKT India Ltd.
JTLIND,JTL Industries Ltd.
JAICORPLTD,Jai Corp Ltd.
JISLJALEQS,Jain Irrigation Systems Ltd.
JPASSOCIAT,Jaiprakash Associates Ltd.
JPPOWER,Jaiprakash Power Ventures Ltd.
J&KBANK,Jammu & Kashmir Bank Ltd.
JAMNAAUTO,Jamna Auto Industries Ltd.
JINDALPOLY,Jindal Poly Films Ltd.
JINDALSAW,Jindal Saw Ltd.
JSL,Jindal Stainless Ltd.
JINDALSTEL,Jindal Steel & Power Ltd.
JINDWORLD,Jindal Worldwide Ltd.
JCHAC,Johnson Controls - Hitachi Air Conditioning India Ltd.
JUBLFOOD,Jubilant Foodworks Ltd.
JUBLINGREA,Jubilant Ingrevia Ltd.
JUBLPHARMA,Jubilant Pharmova Ltd.
JWL,Jupiter Wagons Ltd.
JUSTDIAL,Justdial Ltd.
JYOTHYLAB,Jyothy Labs Ltd.
KPRMILL,K.P.R. Mill Ltd.
KEI,KEI Industries Ltd.
KNRCON,KNR Constructions Ltd.
KPITTECH,KPIT Technologies Ltd.
KRBL,KRBL Ltd.
KSB,KSB Ltd.
KAJARIACER,Kajaria Ceramics Ltd.
KPIL,Kalpataru Projects International Ltd.
KALYANKJIL,Kalyan Jewellers India Ltd.
KANSAINER,Kansai Nerolac Paints Ltd.
KTKBANK,Karnataka Bank Ltd.
KARURVYSYA,Karur Vysya Bank Ltd.
KSCL,Kaveri Seed Company Ltd.
KAYNES,Kaynes Technology India Ltd.
KEC,Kec International Ltd.
KKCL,Kewal Kiran Clothing Ltd.
KFINTECH,Kfin Technologies Ltd.
KIRIINDUS,Kiri Industries Ltd.
KIRLOSBROS,Kirloskar Brothers Ltd.
KIRLOSENG,Kirloskar Oil Eng Ltd.
KIRLPNU,Kirloskar Pneumatic Company Ltd.
KOLTEPATIL,Kolte-Patil Developers Ltd.
KOTAKBANK,Kotak Mahindra Bank Ltd.
KIMS,Krishna Institute of Medical Sciences Ltd.
KRSNAA,Krsnaa Diagnostics Ltd.
L&TFH,L&T Finance Holdings Ltd.
LTTS,L&T Technology Services Ltd.
LGBBROSLTD,LG Balakrishnan & Bros Ltd.
LICHSGFIN,LIC Housing Finance Ltd.
LTFOODS,LT Foods Ltd.
LTIM,LTIMindtree Ltd.
LAOPALA,La Opala RG Ltd.
LAXMIMACH,Lakshmi Machine Works Ltd.
LANDMARK,Landmark Cars Ltd.
LT,Larsen & Toubro Ltd.
LATENTVIEW,Latent View Analytics Ltd.
LAURUSLABS,Laurus Labs Ltd.
LXCHEM,Laxmi Organic Industries Ltd.
LEMONTREE,Lemon Tree Hotels Ltd.
LICI,Life Insurance Corporation of India
LINDEINDIA,Linde India Ltd.
LLOYDSENGG,Lloyds Engineering Works Ltd.
LUPIN,Lupin Ltd.
LUXIND,Lux Industries Ltd.
MASFIN,MAS Financial Services Ltd.
MMTC,MMTC Ltd.
MOIL,MOIL Ltd.
MRF,MRF Ltd.
MSTCLTD,MSTC Ltd.
MTARTECH,MTAR Technologies Ltd.
LODHA,Macrotech Developers Ltd.
MGL,Mahanagar Gas Ltd.
MAHSEAMLES,Maharashtra Seamless Ltd.
M&MFIN,Mahindra & Mahindra Financial Services Ltd.
M&M,Mahindra & Mahindra Ltd.
MHRIL,Mahindra Holidays & Resorts India Ltd.
MAHLIFE,Mahindra Lifespace Developers Ltd.
MAHLOG,Mahindra Logistics Ltd.
MAITHANALL,Maithan Alloys Ltd.
MANINFRA,Man Infraconstruction Ltd.
MANAPPURAM,Manappuram Finance Ltd.
MRPL,Mangalore Refinery & Petrochemicals Ltd.
MANKIND,Mankind Pharma Ltd.
MARICO,Marico Ltd.
MARKSANS,Marksans Pharma Ltd.
MARUTI,Maruti Suzuki India Ltd.
MASTEK,Mastek Ltd.
MFSL,Max Financial Services Ltd.
MAXHEALTH,Max Healthcare Institute Ltd.
MAYURUNIQ,Mayur Uniquoters Ltd.
MAZDOCK,Mazagoan Dock Shipbuilders Ltd.
MEDPLUS,Medplus Health Services Ltd.
MOL,Meghmani Organics Ltd.
METROBRAND,Metro Brands Ltd.
METROPOLIS,Metropolis Healthcare Ltd.
MINDACORP,Minda Corporation Ltd.
MIDHANI,Mishra Dhatu Nigam Ltd.
MOLDTKPAC,Mold-Tek Packaging Ltd.
MSUMI,Motherson Sumi Wiring India Ltd.
MOTILALOFS,Motilal Oswal Financial Services Ltd.
MPHASIS,MphasiS Ltd.
BECTORFOOD,Mrs. Bectors Food Specialities Ltd.
MCX,Multi Commodity Exchange of India Ltd.
MUTHOOTFIN,Muthoot Finance Ltd.
NATCOPHARM,NATCO Pharma Ltd.
NBCC,NBCC (India) Ltd.
NCC,NCC Ltd.
NEOGEN,NEOGEN CHEMICALS LTD.
NESCO,NESCO Ltd.
NHPC,NHPC Ltd.
NLCINDIA,NLC India Ltd.
NMDC,NMDC Ltd.
NSLNISP,NMDC Steel Ltd.
NOCIL,NOCIL Ltd.
NRBBEARING,NRB Bearings Ltd.
NTPC,NTPC Ltd.
NH,Narayana Hrudayalaya Ltd.
NATIONALUM,National Aluminium Co. Ltd.
NFL,National Fertilizers Ltd.
NAVA,Nava Ltd.
NAVINFLUOR,Navin Fluorine International Ltd.
NAVNETEDUL,Navneet Education Ltd.
NAZARA,Nazara Technologies Ltd.
NESTLEIND,Nestle India Ltd.
NETWORK18,Network18 Media & Investments Ltd.
NEULANDLAB,Neuland Laboratories Ltd.
NEWGEN,Newgen Software Technologies Ltd.
NAM-INDIA,Nippon Life India Asset Management Ltd.
NUVOCO,Nuvoco Vistas Corporation Ltd.
OBEROIRLTY,Oberoi Realty Ltd.
ONGC,Oil & Natural Gas Corporation Ltd.
OIL,Oil India Ltd.
OLECTRA,Olectra Greentech Ltd.
PAYTM,One 97 Communications Ltd.
OPTIEMUS,Optiemus Infracom Ltd.
OFSS,Oracle Financial Services Software Ltd.
ORIENTCEM,Orient Cement Ltd.
ORIENTELEC,Orient Electric Ltd.
POLICYBZR,PB Fintech Ltd.
PCBL,PCBL Ltd.
PDSL,PDS Ltd.
PGEL,PG Electroplast Ltd.
PIIND,PI Industries Ltd.
PNBHOUSING,PNB Housing Finance Ltd.
PNCINFRA,PNC Infratech Ltd.
PSPPROJECT,PSP Projects Ltd.
PTC,PTC India Ltd.
PTCIL,PTC Industries Ltd.
PVRINOX,PVR INOX Ltd.
PAGEIND,Page Industries Ltd.
PAISALO,Paisalo Digital Ltd.
PARADEEP,Paradeep Phosphates Ltd.
PARAS,Paras Defence and Space Technologies Ltd.
PATANJALI,Patanjali Foods Ltd.
PERSISTENT,Persistent Systems Ltd.
PETRONET,Petronet LNG Ltd.
PFIZER,Pfizer Ltd.
PHOENIXLTD,Phoenix Mills Ltd.
PIDILITIND,Pidilite Industries Ltd.
PEL,Piramal Enterprises Ltd.
PPLPHARMA,Piramal Pharma Ltd.
POLYMED,Poly Medicure Ltd.
POLYCAB,Polycab India Ltd.
POLYPLEX,Polyplex Corporation Ltd.
POONAWALLA,Poonawalla Fincorp Ltd.
PFC,Power Finance Corporation Ltd.
POWERGRID,Power Grid Corporation of India Ltd.
POWERMECH,Power Mech Projects Ltd.
PRAJIND,Praj Industries Ltd.
PRESTIGE,Prestige Estates Projects Ltd.
PRICOLLTD,Pricol Ltd.
PRINCEPIPE,Prince Pipes and Fittings Ltd.
PRSMJOHNSN,Prism Johnson Ltd.
PRIVISCL,Privi Speciality Chemicals Ltd.
PGHL,Procter & Gamble Health Ltd.
PGHH,Procter & Gamble Hygiene & Health Care Ltd.
PRUDENT,Prudent Corporate Advisory Services Ltd.
PNB,Punjab National Bank
QUESS,Quess Corp Ltd.
RBLBANK,RBL Bank Ltd.
RECLTD,REC Ltd.
RHIM,RHI MAGNESITA INDIA LTD.
RITES,RITES Ltd.
RADICO,Radico Khaitan Ltd
RVNL,Rail Vikas Nigam Ltd.
RAILTEL,Railtel Corporation Of India Ltd.
RAIN,Rain Industries Ltd
RAINBOW,Rainbow Childrens Medicare Ltd.
RAJESHEXPO,Rajesh Exports Ltd.
RAJRATAN,Rajratan Global Wire Ltd.
RALLIS,Rallis India Ltd.
RKFORGE,Ramkrishna Forgings Ltd.
RAMKY,Ramky Infra Ltd.
RCF,Rashtriya Chemicals & Fertilizers Ltd.
RATEGAIN,Rategain Travel Technologies Ltd.
RATNAMANI,Ratnamani Metals & Tubes Ltd.
RTNINDIA,RattanIndia Enterprises Ltd.
RTNPOWER,RattanIndia Power Ltd.
RAYMOND,Raymond Ltd.
REDINGTON,Redington Ltd.
RELAXO,Relaxo Footwears Ltd.
RELIANCE,Reliance Industries Ltd.
RELINFRA,Reliance Infrastructure Ltd.
RPOWER,Reliance Power Ltd.
RELIGARE,Religare Enterprises Ltd.
RESPONIND,Responsive Industries Ltd.
RBA,Restaurant Brands Asia Ltd.
ROLEXRINGS,Rolex Rings Ltd.
ROSSARI,Rossari Biotech Ltd.
ROUTE,Route Mobile Ltd.
RUPA,Rupa & Company Ltd.
SBFC,SBFC Finance Ltd.
SBICARD,SBI Cards and Payment Services Ltd.
SBILIFE,SBI Life Insurance Company Ltd.
SIS,SIS Ltd.
SJVN,SJVN Ltd.
SKFINDIA,SKF India Ltd.
SRF,SRF Ltd.
SAFARI,Safari Industries (India) Ltd.
SAKSOFT,Saksoft Ltd.
MOTHERSON,Samvardhana Motherson International Ltd.
SANOFI,Sanofi India Ltd.
SANSERA,Sansera Engineering Ltd.
SAPPHIRE,Sapphire Foods India Ltd.
SARDAEN,Sarda Energy and Minerals Ltd.
SAREGAMA,Saregama India Ltd
SCHAEFFLER,Schaeffler India Ltd.
SCHNEIDER,Schneider Electric Infrastructure Ltd.
SEQUENT,Sequent Scientific Ltd.
SHANTIGEAR,Shanthi Gears Ltd.
SHARDACROP,Sharda Cropchem Ltd.
SHAREINDIA,Share India Securities Ltd.
SFL,Sheela Foam Ltd.
SHILPAMED,Shilpa Medicare Ltd.
SCI,Shipping Corporation of India Ltd.
SBCL,Shivalik Bimetal Controls Ltd.
SHOPERSTOP,Shoppers Stop Ltd.
SHREECEM,Shree Cement Ltd.
RENUKA,Shree Renuka Sugars Ltd.
SHRIRAMFIN,Shriram Finance Ltd.
SHYAMMETL,Shyam Metalics and Energy Ltd.
SIEMENS,Siemens Ltd.
SIYSIL,Siyaram Silk Mills Ltd.
SOBHA,Sobha Ltd.
SOLARINDS,Solar Industries India Ltd.
SOMANYCERA,Somany Ceramics Ltd.
SONACOMS,Sona BLW Precision Forgings Ltd.
SONATSOFTW,Sonata Software Ltd.
SOUTHBANK,South Indian Bank Ltd.
SPANDANA,Spandana Sphoorty Financial Ltd.
STARCEMENT,Star Cement Ltd.
STARHEALTH,Star Health and Allied Insurance Company Ltd.
SBIN,State Bank of India
SAIL,Steel Authority of India Ltd.
SSWL,Steel Strips Wheels Ltd.
SWSOLAR,Sterling and Wilson Renewable Energy Ltd.
STLTECH,Sterlite Technologies Ltd.
STAR,Strides Pharma Science Ltd.
STYLAMIND,Stylam Industries Ltd.
STYRENIX,Styrenix Performance Materials Ltd.
SUBEXLTD,Subex Ltd.
SUDARSCHEM,Sudarshan Chemical Industries Ltd.
SULA,Sula Vineyards Ltd.
SUMICHEM,Sumitomo Chemical India Ltd.
SPARC,Sun Pharma Advanced Research Company Ltd.
SUNPHARMA,Sun Pharmaceutical Industries Ltd.
SUNTV,Sun TV Network Ltd.
SUNDARMFIN,Sundaram Finance Ltd.
SUNDRMFAST,Sundram Fasteners Ltd.
SUNFLAG,Sunflag Iron & Steel Company Ltd.
SUNTECK,Sunteck Realty Ltd.
SUPRAJIT,Suprajit Engineering Ltd.
SUPREMEIND,Supreme Industries Ltd.
SPLPETRO,Supreme Petrochem Ltd.
SUPRIYA,Supriya Lifescience Ltd.
SURYAROSNI,Surya Roshni Ltd.
SUVENPHAR,Suven Pharmaceuticals Ltd.
SUZLON,Suzlon Energy Ltd.
SWANENERGY,Swan Energy Ltd.
SYMPHONY,Symphony Ltd.
